,f2,prec,rec,f1,dld
ent,25.38,24.05,25.73,24.86,10.94
hir,32.76,34.45,32.37,33.38,11.27
mp,26.47,33.13,25.20,28.63,8.80
imp_players-set_ftrs-euclidean_sim-median_reuse,31.02,33.85,30.39,32.02,11.06
imp_players-set_ftrs-euclidean_sim-first_reuse,28.47,33.50,27.44,30.17,7.42
imp_players-set_ftrs-cosine_sim-median_reuse,24.50,29.17,23.55,26.06,8.13
imp_players-set_ftrs-cosine_sim-first_reuse,20.10,28.56,18.71,22.61,9.11
imp_players-set_ftrs-euclidean_sim-median_reuse-pop,32.80,33.61,32.60,33.10,9.68
imp_players-set_ftrs-euclidean_sim-median_reuse-tpop,34.62,41.34,33.27,36.87,15.81
imp_players-set_ftrs-euclidean_sim-median_reuse-week,32.06,33.50,31.72,32.58,11.32
imp_players-set_ftrs-euclidean_sim-median_reuse-stands,30.40,32.15,30.00,31.04,14.12
imp_players-set_ftrs-euclidean_sim-median_reuse-pop-tpop,32.36,33.56,32.07,32.80,11.23
imp_players-set_ftrs-euclidean_sim-median_reuse-stands-week,52.35,42.23,55.69,48.03,16.19
imp_players-set_ftrs-euclidean_sim-median_reuse-tpop-stands-week,31.56,34.95,30.81,32.75,11.38
imp_players-set_ftrs-euclidean_sim-median_reuse-pop-tpop-stands-week,34.19,37.96,33.36,35.51,13.13
